['KT1', 0.0, 0.0, 0.153, 0.653, 1.154, 1.5, 1.737, 2.009, 2.088, 2.869, 3.104, 3.221, 3.334, 4.059, 4.292, 4.534, 4.633, 4.882, 5.774, 5.879, 6.414, 6.414]
['KT2', 2.089, 2.089, 2.572, 4.324, 5.323, 6.327, 6.414, 7.668, 10.164, 10.752, 12.503, 13.008, 13.75, 16.39, 16.4, 17.901, 18.07, 18.568, 21.326, 21.77, 22.017, 22.017]
['KT3', 0.0, 0.0, 0.151, 1.4, 1.652, 2.249, 2.574, 2.763, 3.714, 3.853, 4.102, 4.361, 4.632, 5.134, 5.567, 6.116, 6.413, 6.587, 7.799, 7.943, 8.458, 8.458]
['KT4', 1.655, 1.655, 2.156, 4.157, 4.874, 5.629, 6.633, 6.884, 8.632, 9.133, 9.633, 10.379, 11.134, 12.634, 13.131, 13.883, 14.383, 14.635, 16.629, 17.01, 17.54, 17.54]
['KT5', 'only has 3 videos for robot movement', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['KT6', 4.612, 4.612, 4.884, 6.262, 6.659, 6.914, 7.033, 7.056, 8.052, 8.23, 8.441, 8.571, 8.972, 9.723, 9.973, 10.218, 10.391, 10.642, 11.702, 12.169, 13.143, 13.143]
['KT7', 'moves bowls in then out of the container', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['KT8', 0.577, 0.577, 1.601, 2.434, 2.683, 2.931, 2.959, 3.211, 3.712, 3.798, 3.993, 4.014, 4.243, 4.676, 4.816, 4.879, 4.881, 5.314, 5.907, 5.979, 6.246, 6.246]
['KT9', 0.428, 0.428, 0.905, 1.904, 2.15, 2.32, 2.324, 2.574, 3.57, 3.822, 4.07, 4.256, 4.322, 5.322, 5.481, 5.523, 5.752, 5.937, 6.909, 7.101, 7.329, 7.329]
['K10', 1.655, 1.655, 4.403, 6.657, 7.363, 7.692, 9.193, 10.441, 12.191, 13.2, 13.951, 15.201, 16.447, 18.951, 19.149, 19.709, 20.962, 21.71, 24.208, 24.468, 24.718, 24.718]
['KT11', 1.157, 1.157, 2.158, 30158.0, 3.654, 3.738, 3.994, 4.649, 6.133, 7.133, 7.637, 8.132, 8.38, 9.383, 10.882, 11.383, 11.882, 12.134, 13.517, 13.884, 14.664, '']
['KT12', 1.401, 1.401, 1.654, 2.905, 3.349, 3.486, 3.601, 3.856, 4.606, 4.833, 5.005, 5.132, 5.382, 5.896, 6.02, 6.315, 6.483, 6.55, 7.55, 8.054, 8.081, 8.081]
['KT13', 0.263, 0.263, 0.658, 1.293, 1.301, 1.684, 1.834, 2.184, 2.846, 2.935, 3.179, 3.431, 3.681, 4.185, 5.187, 5.368, 5.433, 5.682, 6.684, 7.052, 7.162, 7.162]
['KT14', 2.866, 2.866, 3.212, 4.601, 5.099, 5.355, 'cannot see', 'cannot see', 7.599, 7.854, 7.844, 'cannot see', 'cannot see', 10.083, 10.331, 10.435, 10.582, 10.825, 12.58, 12.831, 13.434, 13.434]
['KT15', 1.911, 1.911, 2.907, 3.908, 4.654, 4.906, 5.404, 5.651, 6.658, 7.657, 7.938, 8.408, 8.655, 9.662, 11.158, 11.356, 11.407, 12.157, 13.411, 13.156, 14.408, 14.408]
['KT16', 2.181, 2.181, 2.437, 4.932, 5.521, 6.027, 6.274, 6.773, 9.128, 9.469, 9.634, 9.86, 10.86, 13.111, 13.165, 13.459, 13.955, 14.198, 15.949, 16.559, 16.9, 16.9]
['KT17', 0.659, 1.157, 1.653, 3.353, 3.353, 4.101, 4.604, 5.349, 7.44, 7.44, 8.689, 8.914, 9.442, 11.692, 11.692, 12.942, 13.695, 14.441, 16.408, 16.408, 17.4, 17.4]
['KT18', 1.323, 1.323, 1.683, 2.932, 3.211, 3.651, 3.902, 4.406, 5.651, 6.905, 7.049, 'cannot see', 'cannot see', 8.551, 9.641, 9.977, 10.132, 10.502, 12.252, 12.587, 13.061, 13.061]
['KT19', 'cut off', 'cut off', 'cut off', 'cut off', 'cut off', 'cut off', 'cut off', 'cut off', 'cut off', 'cut off', 0.008, 0.105, 0.375, 0.901, 1.302, 1.681, 1.931, 2.186, 4.006, 4.244, 4.81, 4.81]
['KT20', 1.52, 1.52, 2.679, 4.184, 4.184, 4.434, 4.931, 5.685, 6.685, 6.689, 7.009, 7.189, 8.184, 8.931, 8.931, 9.584, 9.611, 10.11, 11.163, 11.777, 12.171, 12.171]
