['KT 1', 'start', 'start', 'start', 0.658, 0.906, 2.404, 2.657, 3.211, 3.461, 4.241, 4.49, 5.995, 6.311, 6.311]
['KT 2', 0.657, 0.657, 1.152, 2.659, 3.654, 6.908, 7.405, 8.154, 8.66, 10.154, 11.152, 13.904, 14.409, 14.409]
['KT 3', 1.407, 1.407, 1.907, 3.159, 3.463, 5.329, 5.608, 6.163, 6.411, 6.931, 7.411, 8.914, 9.661, 9.661]
['KT 4', 'missing data', '', '', '', '', '', '', '', '', '', '', '', '', '']
['KT 5', 'missing data', '', '', '', '', '', '', '', '', '', '', '', '', '']
['KT 6', 1.659, 1.659, 1.935, 2.933, 3.684, 5.43, 5.52, 6.024, 6.16, 6.912, 7.302, 8.553, 9.398, 9.398]
['KT 7', 'missing data', '', '', '', '', '', '', '', '', '', '', '', '', '']
['KT 8', 0.655, 0.655, 1.153, 1.685, 1.933, 3.074, 3.21, 3.851, 3.995, 4.239, 4.492, 5.424, 5.578, '']
['KT 9', 'missing data', '', '', '', '', '', '', '', '', '', '', '', '', '']
['KT 10', 1.651, 1.651, 2.653, 5.654, 6.905, 10.655, 11.657, 12.404, 13.152, 14.654, 15.406, 17.906, 18.557, 18.557]
['KT 11', 1.906, 1.906, 2.656, 4.156, 4.657, 7.408, 7.789, 8.158, 8.907, 9.659, 10.906, 13.282, 13.779, 13.779]
['KT 12', 1.407, 1.407, 1.679, 2.433, 2.681, 2.681, 4.181, 5.189, 5.272, 5.774, 6.152, 7.911, 8.409, 8.409]
['KT 13', 1.405, 1.405, 1.906, 2.323, 2.571, 3.823, 4.324, 4.881, 5.129, 5.382, 5.882, 7.133, 7.411, 7.411]
['KT 14', 0.404, 0.404, 0.654, 1.684, 1.931, 3.343, 3.604, 4.353, 'cant see', 'cant see', 'cant see', 'cant see', 'cant see', 'end']
['KT 15', 0.657, 0.657, 1.412, 2.404, 2.657, 4.659, 5.405, 6.151, 6.409, 7.163, 7.41, 8.972, 9.363, 9.363]
['KT 16', 1.407, 1.407, 1.905, 4.156, 4.491, 6.744, 7.491, 8.245, 8.744, 9.739, 10.489, 12.745, 13.491, 13.491]
['KT 17', 1.154, 1.154, 1.905, 3.158, 4.406, 7.692, 8.193, 9.693, 9.942, 10.943, 12.191, 14.812, 15.311, 15.311]
['KT 18', 0.653, 0.653, 0.901, 1.903, 2.402, 4.656, 4.879, 5.383, 5.885, 6.383, 6.879, 8.379, 8.629, 8.629]
['KT 19', 0.406, 0.406, 0.903, 1.434, 1.803, 2.709, 3.047, 3.603, 3.851, 4.239, 4.492, 4.991, 5.605, 5.605]
['KT 20', 1.402, 1.402, 1.652, 2.905, 3.401, 5.493, 5.993, 6.245, 6.993, 7.498, 8.244, 10.245, 10.497, 10.497]
